cod_ibge,ano,homicidios
290210,2010,11
350610,2010,5
290205,2010,3
350620,2010,0
290200,2010,0
350630,2010,0
350635,2010,6
290195,2010,0
350640,2010,0
290190,2010,5
350650,2010,9
290180,2010,0
350660,2010,2
290170,2010,1
350670,2010,1
290160,2010,1
350680,2010,4
350690,2010,2
290150,2010,0
350700,2010,4
290140,2010,0
350710,2010,3
290135,2010,2
350715,2010,0
290130,2010,0
350720,2010,0
290120,2010,3
350730,2010,0
350740,2010,2
290115,2010,1
290110,2010,7
350750,2010,6
350760,2010,14
290100,2010,5
350770,2010,0
290090,2010,2
350775,2010,0
290080,2010,6
350780,2010,3
290070,2010,71
350790,2010,0
290060,2010,0
350800,2010,1
350810,2010,2
290050,2010,1
350820,2010,0
290040,2010,0
350830,2010,1
290035,2010,5
350840,2010,6
290030,2010,6
350850,2010,8
290020,2010,5
350860,2010,2
350870,2010,1
290010,2010,0
350880,2010,2
280760,2010,14
350890,2010,0
280750,2010,3
350900,2010,9
280740,2010,27
350910,2010,1
280730,2010,1
350920,2010,9
280720,2010,4
350925,2010,5
350930,2010,0
280710,2010,14
350940,2010,2
280700,2010,1
350945,2010,0
280690,2010,0
350950,2010,167
280680,2010,2
350960,2010,20
280670,2010,33
350970,2010,11
350980,2010,0
280660,2010,7
350990,2010,2
280650,2010,2
350995,2010,0
280640,2010,3
351000,2010,3
280630,2010,3
351010,2010,1
351015,2010,0
351020,2010,5
280610,2010,2
351030,2010,2
280600,2010,2
351040,2010,7
280590,2010,6
351050,2010,38
280580,2010,4
351060,2010,40
280570,2010,23
351070,2010,0
351080,2010,3
280560,2010,9
351090,2010,0
280550,2010,3
351100,2010,4
280540,2010,4
351110,2010,10
280530,2010,1
351120,2010,1
280520,2010,0
351130,2010,0
351140,2010,0
280510,2010,2
351150,2010,5
280500,2010,0
351160,2010,0
280490,2010,1
351170,2010,0
280480,2010,79
351190,2010,0
280470,2010,1
351200,2010,1
280460,2010,7
351210,2010,2
351220,2010,2
280450,2010,4
351230,2010,0
280445,2010,1
351240,2010,1
280440,2010,10
351250,2010,1
280430,2010,2
351260,2010,0
280420,2010,4
351270,2010,0
351280,2010,13
280410,2010,2
351290,2010,0
280400,2010,10
351300,2010,43
280390,2010,3
351310,2010,1
280380,2010,0
351320,2010,1
280370,2010,1
351330,2010,0
351340,2010,7
280360,2010,10
351350,2010,27
280350,2010,33
351360,2010,4
280340,2010,4
351370,2010,3
280330,2010,2
351380,2010,133
280320,2010,9
351385,2010,0
351390,2010,0
280310,2010,1
351400,2010,3
280300,2010,13
351410,2010,4
280290,2010,38
351420,2010,0
280280,2010,2
351430,2010,0
280270,2010,3
351440,2010,4
351450,2010,0
280260,2010,0
351460,2010,0
280250,2010,1
351470,2010,1
280240,2010,2
351480,2010,3
280230,2010,2
351490,2010,0
280220,2010,3
351492,2010,0
351495,2010,0
280210,2010,27
351500,2010,67
280200,2010,1
351510,2010,15
280190,2010,0
351512,2010,0
280170,2010,1
351515,2010,3
280160,2010,2
351518,2010,3
351519,2010,0
280150,2010,2
351520,2010,0
280140,2010,4
351530,2010,1
280130,2010,4
351535,2010,2
280120,2010,6
351540,2010,1
351550,2010,10
280110,2010,0
351560,2010,0
280100,2010,4
280070,2010,2
351570,2010,34
351580,2010,1
280067,2010,5
351590,2010,0
280060,2010,14
351600,2010,0
280050,2010,8
351620,2010,17
280040,2010,1
351630,2010,31
280030,2010,157
351640,2010,32
280020,2010,5
351650,2010,0
280010,2010,1
351660,2010,3
351670,2010,5
270940,2010,10
351680,2010,0
270930,2010,51
351685,2010,0
270920,2010,9
351690,2010,2
270915,2010,40
351700,2010,1
270910,2010,9
351710,2010,0
351720,2010,3
270900,2010,0
351730,2010,1
270895,2010,3
351740,2010,8
270890,2010,7
351750,2010,0
270880,2010,23
351760,2010,6
270870,2010,0
351770,2010,1
351780,2010,4
270860,2010,63
351790,2010,0
270850,2010,10
351800,2010,0
270840,2010,16
351810,2010,1
270830,2010,15
351820,2010,5
270820,2010,2
351830,2010,4
351840,2010,23
270810,2010,2
351850,2010,0
270800,2010,21
351860,2010,13
270790,2010,4
351870,2010,55
270780,2010,4
351880,2010,266
270770,2010,46
351885,2010,0
351890,2010,3
270760,2010,6
351900,2010,0
270750,2010,8
351905,2010,1
270740,2010,1
351907,2010,33
270730,2010,5
351910,2010,1
270720,2010,5
351920,2010,0
351925,2010,0
270710,2010,20
351930,2010,5
270700,2010,0
351940,2010,0
270690,2010,42
351950,2010,1
270680,2010,11
351960,2010,8
351970,2010,15
270670,2010,40
351980,2010,0
270660,2010,3
351990,2010,0
270650,2010,7
352000,2010,6
270644,2010,5
352010,2010,2
270642,2010,0
352020,2010,1
352030,2010,3
270640,2010,6
352040,2010,1
270630,2010,41
352042,2010,5
270620,2010,0
352044,2010,3
270610,2010,0
352050,2010,28
270600,2010,4
352060,2010,1
352070,2010,0
270590,2010,0
352080,2010,0
270580,2010,3
352090,2010,2
270570,2010,7
352100,2010,5
270560,2010,2
352110,2010,3
270550,2010,11
352115,2010,1
352120,2010,0
270540,2010,1
352130,2010,3
270530,2010,1
352140,2010,1
270520,2010,10
352150,2010,1
270510,2010,10
352160,2010,1
270500,2010,9
352170,2010,3
352180,2010,3
270490,2010,0
352190,2010,1
270480,2010,3
352200,2010,0
270470,2010,41
352210,2010,20
270460,2010,4
352215,2010,0
270450,2010,10
352220,2010,51
352230,2010,19
270440,2010,6
352240,2010,10
270430,2010,918
